equipo_ganador,equipo_primera_sangre,asesinatos_dif,asistencias_dif,nivel_dif,minions_dif,torretas_dif,dragones_dif,heraldos_dif
0,1,1,6,0.6000000000000005,-7,0,1,0
0,1,7,12,0.7999999999999998,46,0,-1,0
0,1,-5,-5,-0.6000000000000005,-30,0,-1,-1
0,1,2,3,0.40000000000000036,8,0,1,-1
0,1,5,5,0.20000000000000018,14,0,1,1
1,1,-7,-9,-0.7999999999999998,-16,0,1,-1
1,0,-10,-11,-0.6000000000000005,-20,-1,-1,0
1,0,-2,-4,-0.40000000000000036,3,0,-1,0
1,1,-6,-9,-1.6000000000000005,-87,-2,0,-1
1,1,-2,0,0.40000000000000036,-3,0,-1,-1
1,1,1,4,0.20000000000000018,26,0,0,0
1,0,2,4,-0.20000000000000018,15,0,1,0
0,1,-1,-1,-0.20000000000000018,-15,0,0,0
0,0,2,0,0.40000000000000036,24,0,-1,0
0,1,-2,-4,0.20000000000000018,16,0,-1,1
1,1,-1,-1,-0.20000000000000018,21,0,-1,-1
1,0,-7,-9,-0.20000000000000018,42,0,1,-1
1,1,-2,-3,0.0,-8,0,-1,0
1,1,-4,-8,-0.20000000000000018,55,0,1,0
0,0,5,6,1.0,30,0,1,0
0,1,-3,-2,0.0,-3,0,0,-1
1,1,0,0,-0.20000000000000018,-17,0,0,0
0,1,4,7,0.20000000000000018,14,0,1,0
0,1,4,11,0.20000000000000018,-8,0,-1,0
1,0,2,0,-1.0,-27,0,0,0
0,1,3,2,0.20000000000000018,42,0,1,0
0,0,5,3,0.20000000000000018,34,0,1,0
1,0,6,5,0.6000000000000005,1,0,0,0
0,0,-1,1,0.0,-7,0,-1,-1
1,0,0,1,-0.40000000000000036,-7,0,1,0
0,0,1,0,0.40000000000000036,52,0,-1,1
0,0,2,5,0.40000000000000036,26,0,1,0
1,0,-3,-9,0.20000000000000018,35,0,0,0
1,1,-6,-14,0.0,-17,0,1,0
1,1,-7,-4,-0.6000000000000005,-12,0,0,-1
1,1,-2,-1,-0.40000000000000036,-49,0,-1,0
0,0,5,8,-0.20000000000000018,20,0,-1,-1
1,1,-1,-5,0.20000000000000018,-20,0,0,0
1,1,-3,-11,0.0,-12,0,-1,0
1,0,-3,-6,-0.40000000000000036,2,0,-1,0
1,1,1,-4,0.6000000000000005,10,0,0,0
0,0,4,2,0.6000000000000005,0,0,1,1
1,0,-1,-4,0.0,25,0,-1,0
1,1,-2,2,0.1999999999999993,-10,0,1,0
1,1,-7,-11,-0.40000000000000036,-7,0,1,0
1,1,1,2,-0.20000000000000018,36,0,-1,0
0,1,-3,-3,0.20000000000000018,32,0,0,0
1,1,-8,-8,-1.0,-15,0,1,0
0,1,-7,-4,-0.40000000000000036,-12,-1,1,-1
0,0,7,6,1.0,32,0,0,1
0,1,-1,-2,0.0,-13,0,1,0
0,0,2,-2,0.6000000000000005,23,1,-1,1
1,1,-2,-2,-0.39999999999999947,3,0,1,-1
0,0,1,-1,0.40000000000000036,3,0,1,0
1,1,0,1,-0.20000000000000018,-16,0,1,0
1,0,-8,-5,-1.5999999999999996,-42,-1,-1,-1
0,1,-1,1,-0.40000000000000036,-18,0,-1,0
0,1,3,8,0.0,10,0,1,0
0,0,2,2,0.20000000000000018,21,0,-1,0
0,1,3,2,-0.40000000000000036,-34,0,-1,-1
1,0,-8,-8,-0.6000000000000005,-23,-1,0,1
1,1,0,5,0.40000000000000036,-1,0,-1,-1
1,0,-5,-5,-0.6000000000000005,-26,0,0,-1
